"","PlayerName","Team","Points"
"161","Tanner Scott","MIA",93
"162","Matthew Liberatore","STL",92
"163","Carlos Carrasco","NYM",92
"164","Michael Soroka","ATL",91
"165","Andrew Chafin","ARI",91
"166","Edward Cabrera","MIA",90
"167","Taylor Rogers","SFG",90
"168","Wade Miley","MIL",89
"169","Kyle Hendricks","CHC",89
"170","Graham Ashcraft","CIN",88
"171","José Quintana","NYM",88
"172","Bryan Woo","SEA",88
"173","Caleb Ferguson","LAD",88
"174","Sam Hentges","CLE",87
"175","Trevor Richards","TOR",87
"176","Chris Martin","BOS",85
"177","Gavin Williams","CLE",85
"178","Cole Irvin","BAL",85
"179","Brandon Pfaadt","ARI",84
"180","Steven Matz","STL",84
"181","Julian Merryweather","CHC",84
"182","Joe Kelly","CHW",84
"183","Tommy Henry","ARI",84
"184","Tim Mayza","TOR",84
"185","Erik Swanson","TOR",84
"186","Nick Anderson","ATL",84
"187","José Soriano","LAA",84
"188","Ryne Nelson","ARI",83
"189","Roansy Contreras","PIT",82
"190","Bryan Baker","BAL",82
"191","Liam Hendriks","CHW",82
"192","Trevor Rogers","MIA",81
"193","Mike Clevinger","CHW",81
"194","Jason Foley","DET",81
"195","Brusdar Graterol","LAD",81
"196","Jordan Lyles","KCR",81
"197","Dylan Floro","MIA",81
"198","Marco Gonzales","SEA",81
"199","Austin Adams","ARI",81
"200","Griffin Jax","MIN",81
"201","Trevor Stephan","CLE",81
"202","Robert Stephenson","TBR",81
"203","Josh Sborz","TEX",80
"204","Aaron Bummer","CHW",80
"205","Hector Neris","HOU",80
"206","Drew Smith","NYM",80
"207","Sam Moll","OAK",79
"208","Madison Bumgarner",NA,79
"209","Mike Minor",NA,78
"210","Clarke Schmidt","NYY",78
"211","Daniel Lynch","KCR",78
"212","Zach Davies","ARI",78
"213","Collin McHugh","ATL",78
"214","Wandy Peralta","NYY",78
"215","Reynaldo López","CHW",77
"216","Yonny Chirinos","TBR",77
"217","Phil Maton","HOU",77
"218","Ron Marinaccio","NYY",77
"219","Nick Lodolo","CIN",76
"220","Kutter Crawford","BOS",76
"221","Drey Jameson","ARI",76
"222","Chris Devenski","LAA",76
"223","Andrew Nardi","MIA",76
"224","Gregory Soto","PHI",76
"225","Joe Jiménez","ATL",76
"226","Eury Pérez","MIA",75
"227","Dustin May","LAD",75
"228","Trevor Williams","WSN",75
"229","Lucas Sims","CIN",75
"230","Jovani Moran","MIN",75
"231","Ronel Blanco","HOU",75
"232","Matt Manning","DET",74
"233","Kyle Harrison","SFG",74
"234","Hogan Harris","OAK",74
"235","Yennier Cano","BAL",74
"236","Pierce Johnson","COL",74
"237","Brooks Raley","NYM",74
"238","Miguel Castro","ARI",74
"239","Austin Gomber","COL",73
"240","Ross Stripling","SFG",73
"241","Dauri Moreta","PIT",73
"242","Nate Pearson","TOR",73
"243","Julio Teheran","MIL",73
"244","Colin Poche","TBR",73
"245","Kyle Freeland","COL",72
"246","Luis L. Ortiz","PIT",72
"247","Emilio Pagán","MIN",72
"248","Gabe Speier","SEA",72
"249","Daniel Bard","COL",72
"250","Luis Medina","OAK",72
"251","Danny Coulombe","BAL",72
"252","Noah Syndergaard","LAD",71
"253","Hayden Wesneski","CHC",71
"254","Colin Holderman","PIT",71
"255","Brandon Williamson","CIN",71
"256","Angel Perdomo","PIT",71
"257","Yimi García","TOR",71
"258","John Brebbia","SFG",71
"259","Andre Pallante","STL",71
"260","Kevin Kelly","TBR",71
"261","John Schreiber","BOS",70
"262","Hoby Milner","MIL",70
"263","Steven Okert","MIA",70
"264","Shintaro Fujinami","OAK",70
"265","Cristopher Sánchez","PHI",69
"266","David Peterson","NYM",69
"267","Louie Varland","MIN",69
"268","Mitch White","TOR",69
"269","Michael Fulmer","CHC",69
"270","Tyler Rogers","SFG",69
"271","Aaron Loup","LAA",69
"272","Enyel De Los Santos","CLE",69
"273","Ryan Walker","SFG",69
"274","Triston McKenzie","CLE",68
"275","Luis García","SDP",68
"276","Trevor Gott","NYM",68
"277","Ryne Stanek","HOU",68
"278","Tanner Houck","BOS",67
"279","Joel Payamps","MIL",67
"280","Tom Cosgrove","SDP",67
"281","Jeff Hoffman","PHI",67
"282","José Cisnero","DET",67
"283","Eli Morgan","CLE",67
"284","Jake Diekman","TBR",67
"285","Jaime Barria","LAA",66
"286","Chris Stratton","STL",66
"287","Andrew Vasquez","PHI",66
"288","Clayton Andrews","MIL",66
"289","James Karinchak","CLE",66
"290","Logan Allen","CLE",65
"291","Colin Rea","MIL",65
"292","Adrian Houser","MIL",65
"293","Carlos Hernández","KCR",65
"294","Yerry De Los Santos","PIT",65
"295","Grant Anderson","TEX",65
"296","Justin Topa","SEA",65
"297","Kyle Nelson","ARI",65
"298","Steven Wilson","SDP",65
"299","Kyle Wright","ATL",64
"300","Alex Faedo","DET",64
"301","Buck Farmer","CIN",64
"302","Amir Garrett","KCR",64
"303","Keynan Middleton","CHW",64
"304","Seth Martinez","HOU",64
"305","Luke Weaver","CIN",63
"306","Jake Bird","COL",63
"307","Jakob Junis","SFG",63
"308","Mike Baumann","BAL",63
"309","Lucas Erceg","OAK",63
"310","Albert Abreu","NYY",63
"311","Drew Rasmussen","TBR",62
"312","Kyle Muller","OAK",62
"313","Kolby Allard","ATL",62
"314","Mason Thompson","WSN",62
"315","Jacob Webb","LAA",62
"316","Jesse Chavez","ATL",62
"317","Brock Burke","TEX",62
"318","Elvis Peguero","MIL",62
"319","Yency Almonte","LAD",62
"320","Ian Hamilton","NYY",62
"321","Alex Vesia","LAD",61
"322","Phil Bickford","LAD",61
"323","Tayler Saucedo","SEA",61
"324","Ken Waldichuk","OAK",60
"325","Ryan Brasier","LAD",60
"326","Taylor Clarke","KCR",60
"327","Nick Sandlin","CLE",60
"328","Peter Strzelecki","MIL",60
"329","Génesis Cabrera","STL",60
"330","Jeff Brigham","NYM",60
"331","Josh Winckowski","BOS",60
"332","Tanner Banks","CHW",59
"333","Jordan Weems","WSN",59
"334","Kirby Yates","ATL",59
"335","Jake Irvin","WSN",58
"336","Kevin Ginkel","ARI",58
"337","Rafael Montero","HOU",57
"338","JoJo Romero","STL",57
"339","Sam Long","OAK",57
"340","Brad Boxberger","CHC",57
"341","Cole Ragans","KCR",56
"342","Ben Lively","CIN",56
"343","DL Hall","BAL",56
"344","Jimmy Cordero","NYY",56
"345","Jose A. Ferrer","WSN",56
"346","Ian Gibaut","CIN",56
"347","Chasen Shreve","DET",56
"348","Tyler Alexander","DET",56
"349","Shawn Dubin","HOU",55
"350","Seranthony Domínguez","PHI",55
"351","Gregory Santos","CHW",55
"352","Matt Moore","LAA",55
"353","Ty Adcock","SEA",55
"354","Huascar Brazoban","MIA",55
"355","Dominic Leone","NYM",55
"356","Jose Cuas","KCR",55
"357","Johnny Cueto","MIA",54
"358","Spencer Turnbull","DET",54
"359","Adrian Morejon","SDP",54
"360","Shawn Armstrong","TBR",54
"361","Keaton Winn","SFG",53
"362","James Kaprielian","OAK",53
"363","Alex Young","CIN",53
"364","José Ruiz","ARI",53
"365","Bryse Wilson","MIL",53
"366","Nick Vespi","BAL",53
"367","Joe Barlow","TEX",53
"368","John Means","BAL",52
"369","Ben Brown","CHC",52
"370","Michael Rucker","CHC",52
"371","Fernando Cruz","CIN",52
"372","José Leclerc","TEX",52
"373","JT Chargois","MIA",52
"374","Cionel Pérez","BAL",52
"375","Emmet Sheehan","LAD",51
"376","Michael Pineda",NA,51
"377","Richard Lovelady","OAK",51
"378","Michael Tonkin","ATL",51
"379","Yunior Marte","PHI",51
"380","Josh Winder","MIN",51
"381","Jalen Beeks","TBR",50
"382","Brent Headrick","MIN",50
"383","Trevor Megill","MIL",50
"384","Tim Hill","SDP",50
"385","Quinn Priester","PIT",49
"386","Zach Jackson","OAK",49
"387","Zach Pop","TOR",49
"388","Zack Littell","TBR",49
"389","Osvaldo Bido","PIT",48
"390","Tylor Megill","NYM",48
"391","Joey Wentz","DET",48
"392","Brad Hand","COL",48
"393","Parker Mushinski","HOU",48
"394","Jorge López","MIN",48
"395","Brent Honeywell","SDP",48
"396","Drew Rucinski","OAK",47
"397","Tucker Davidson","LAA",47
"398","Josh Staumont","KCR",47
"399","Cory Abbott","WSN",47
"400","Tyler Holton","DET",47
"401","Keegan Thompson","CHC",47
"402","Matt Festa","SEA",47
"403","James Naile","STL",47
"404","Darren McCaughan","SEA",46
"405","Will Vest","DET",46
"406","Dakota Hudson","STL",46
"407","Justin Garza","BOS",46
"408","Connor Seabold","COL",45
"409","Cody Bradford","TEX",45
"410","Dinelson Lamet","BOS",45
"411","Derek Law","CIN",45
"412","Robert Suarez","SDP",45
"413","Kaleb Ort","BOS",45
"414","Amos Willingham","WSN",45
"415","Anthony Kay","CHC",45
"416","Nick Wittgren","KCR",45
"417","Bailey Falter","PHI",44
"418","Touki Toussaint","CHW",44
"419","Hyun Jin Ryu","TOR",43
"420","Corey Kluber","BOS",43
"421","Brad Keller","KCR",43
"422","Brennan Bernardino","BOS",43
"423","Caleb Thielbar","MIN",43
"424","Cody Morris","CLE",43
"425","Scott Alexander","SFG",43
"426","Carmen Mlodzinski","PIT",43
"427","Ryan Borucki","PIT",43
"428","Xzavion Curry","CLE",43
"429","Joan Adon","WSN",42
"430","Peter Lambert","COL",42
"431","AJ Smith-Shawver","ATL",42
"432","Brandon Bielak","HOU",42
"433","Tim Herrin","CLE",42
"434","Oliver Ortega","MIN",42
"435","Mason Englert","DET",42
"436","José Suarez","LAA",41
"437","Cooper Criswell","TBR",41
"438","Brock Stewart","MIN",41
"439","J.B. Bukauskas","MIL",41
"440","Jesse Scholtens","CHW",40
"441","Joey Lucchesi","NYM",40
"442","Chris Murphy","BOS",40
"443","Keegan Akin","BAL",40
"444","Glenn Otto","TEX",40
"445","Austin Pruitt","OAK",40
"446","Andrew Painter","PHI",39
"447","Javier Assad","CHC",39
"448","Bowden Francis","TOR",39
"449","Bruce Zimmermann","BAL",39
"450","Ryan Yarbrough","KCR",38
"451","Garrett Crochet","CHW",38
"452","Grant Hartwig","NYM",38
"453","Paolo Espino","WSN",37
"454","Rob Zastryzny","PIT",37
